ActionId,InitialTab,SubjectRule,TownMode,Notes
ui.town_affairs,institutions,selected_adult_household_member,resident,Opens Town Affairs normally.
household.buy_house,housing,active_household,town_picker_then_remote_housing,Select Town first; no offers in picker.
career.seek_employment,jobs,active_controller,resident,Keep exact action semantics; queue from Jobs tab.
career.find_another_job,jobs,active_controller,resident,Keep exact action semantics; queue from Jobs tab.
career.help_seek_employment,jobs,selected_adult_household_member,resident,Controller helps selected resident adult.
career.help_find_better_job,jobs,selected_adult_household_member,resident,Controller helps selected resident adult.
education.get_education,education,selected_adult_household_member,resident,Standard Education and Craft study stay unchanged.
education.private_tutor,education,selected_child_household_member,resident,Private tutoring costs 3000 zł and does not require a local School; shown only when affordable and otherwise eligible.
loan.take,bank,active_household,resident,Open the local Bank tab and preserve the existing loan action.
loan.give,bank,active_household,resident,Open the local Bank tab and preserve the existing lending action.
wellbeing.heal_relative,health,selected_household_member,resident,Patient may be a child; Town Affairs itself remains directly openable only for adults.
wellbeing.therapy,health,selected_adult_household_member,resident,Therapy remains local-facility dependent.
stats.improve_strength,health,selected_adult_household_member,resident,Medical Improvement; requires Medical Tier 1+.
stats.improve_intellect,health,selected_adult_household_member,resident,Medical Improvement; requires Medical Tier 2+.
stats.improve_immunity,health,selected_adult_household_member,resident,Medical Improvement; requires Medical Tier 2+.
stats.improve_appeal,health,selected_adult_household_member,resident,Medical Improvement; requires Medical Tier 2+.
stats.improve_longevity,health,selected_adult_household_member,resident,Medical Improvement; requires Medical Tier 3+.
stats.improve_fertility,health,selected_adult_household_member,resident,Medical Improvement; requires Medical Tier 3+.
personality.religious_study,church,active_controller,resident,Religious Study success depends on the local Church tier.
church.attend,church,active_controller,resident,Open the local Church tab and preserve the queued annual action.
church.donate,church,active_controller,resident,Choose a donation tier in the local Church tab.
church.aid_poor_family,church,active_controller,resident,Choose a direct-charity tier in the local Church tab.
church.ask_welfare,church,active_household,resident,Open Church emergency welfare for the active household.
community.lobby_policy,community,active_controller,resident,Choose one of the current Town proposals and queue the annual lobbying action.
